#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
16.5600000000017,-1.5072482044980375,767.6040338982656,309.89221168653205,6088.357272830556
16.58000000000169,-1.544639271049246,751.2809564971193,303.3303428458322,6088.357272830556
16.60000000000168,-1.5894903912542984,753.3650117293597,304.188127035695,6081.179581525296
16.620000000001667,-1.6339493765829727,760.1042210236789,306.9214193634065,6081.179581525296
16.640000000001656,-1.693810440540187,775.5696938895286,313.17692514083575,6081.179581525296
16.660000000001645,-1.7527920850516956,790.7694217679126,319.3250019556816,6116.814985277927
16.680000000001634,-1.8379785665275257,800.4238036195783,323.24929281171677,6116.814985277927
16.700000000001623,-1.859949893159534,783.1625463712684,316.3031972771938,6262.262817026104
16.720000000001612,-1.9690907661148562,779.3891892295054,314.82680223519924,6262.262817026104
16.7400000000016,-2.087975329560901,769.6307469170264,310.9428078899847,6262.262817026104
16.76000000000159,-2.1844225797661805,761.1008217808,307.54477021309185,6324.181340484691
16.78000000000158,-2.319529381752875,752.6661886599055,304.20070463147,6324.181340484691
16.800000000001567,-2.511274820031057,746.6810773370551,301.8664273833571,6223.064373786821
16.820000000001556,-2.6459331566704614,748.731462417333,302.74683045747184,6223.064373786821
16.840000000001545,-2.7498898560417993,720.1990556141125,291.2923693378586,6223.064373786821
16.860000000001534,-2.8107473904503686,731.854328744276,296.0130615556689,6223.064373786821
16.880000000001523,-2.8067629391564233,736.7636586075412,297.9895354082512,6223.064373786821
16.900000000001512,-2.671156840040926,745.8460088357184,301.59437958368477,6304.299998465379
16.9200000000015,-2.387515024855379,767.1718367770169,310.07274903304824,6304.299998465379
16.94000000000149,-1.9318882987048667,782.3145814634714,315.9905187679765,6304.299998465379
16.96000000000148,-1.394077547398631,776.8225417355623,313.5609565646574,6300.480438353378
16.980000000001468,-1.0250356276903791,773.3445287639822,312.01089173466113,6300.480438353378
17.000000000001457,-1.0092396898627605,766.6006640927434,309.2872726366981,6400.5091934183
17.020000000001446,-0.9052471084952679,785.6978983865619,316.940076357476,6400.5091934183
17.040000000001434,-1.2840720577597942,760.5747177214861,306.9700196206065,6400.5091934183
17.060000000001423,-1.8751139660452556,746.5584304909136,301.5606867162922,6363.4812260098
17.080000000001412,-2.5320831556891155,730.2375127355482,295.24932998842803,6363.4812260098
17.1000000000014,-2.952814223346586,737.6744975428011,298.4153802180162,6363.4812260098
17.12000000000139,-3.1378592272375774,745.2239417339589,301.53177965031455,6363.4812260098
17.14000000000138,-3.1703377981756877,754.2448535169389,305.17959398527876,6363.4812260098
17.160000000001368,-3.09392562455396,737.6238654112174,298.4518363481342,6251.1769117415515
17.180000000001357,-2.909598737423223,730.5390550946547,295.522937686101,6251.1769117415515
